Episode	need history event	Facts abstracted from memory	Character Code	Guessed Character Name	Evidence-a1	Evidence-a2	Evidence-a3	Reasoning Type
08x03 4896	no	no	P0	sheldon	personality			no
08x03 4896	no	yes	P1	amy	fact(relation)	inside_scene(background)		multihop-textual
08x03 4896	yes	yes	P2	penny (abductive)	linguistic style	history event		
08x03 4896	yes	yes	P3	leonard (abductive)	fact(relation)			no
08x03 4898	no	yes	P0	penny	inside_scene(background)	fact(relation)		multihop-textual
08x03 4898	no	no	P1	sheldon	inside_scene(mention)			no
08x03 4898	no	no	P2	amy	inside_scene(background)			no
08x03 4898	no	no	P3	leonard	inside_scene(mention)			no
08x03 4900	yes	yes	P0	leonard	history event	fact(status)		
08x03 4900	yes	yes	P1	sheldon	history event	personality		
08x03 4900	yes	yes	P2	penny	history event	fact(relation)		multihop-character
08x03 4900	yes	yes	P3	amy	inside_scene(exclusive)			no
08x03 4901	no	no	P0	howard	history event			no
08x03 4901	no	no	P1	raj	inside_scene(exclusive)			no
08x03 4902	no	yes	P0	amy	inside_scene(background)			multihop-textual
08x03 4902	yes	yes	P1	penny	history event	personality		
08x03 4902	no	no	P2	sheldon	inside_scene(mention)			no
08x03 4902	yes	yes	P3	leonard	history event	fact(status)		
08x03 4903	yes	yes	P0	raj	history event	inside_scene(background)		commonsense
08x03 4903	yes	yes	P1	howard	inside_scene(exclusive)			no
08x03 4904	yes	yes	P0	leonard	history event	personality		
08x03 4904	yes	yes	P1	penny	inside_scene(exclusive)			no
08x03 4906	yes	yes	P0	penny	history event			no
08x03 4906	yes	yes	P1	amy	history event			multihop-character
08x03 4906	yes	yes	P2	sheldon	history event	personality		
08x03 4906	no	no	P3	leonard	fact(relation)	inside_scene(background)		
08x03 4907	yes	yes	P0	raj	inside_scene(exclusive)			no
08x03 4907	yes	yes	P1	penny	linguistic style	history event	inside_scene(exclusive)	multihop-textual
08x03 4907	yes	yes	P2	leonard	fact(relation)			no
08x03 4907	no	no	P3	sheldon	inside_scene(mention)			no
08x03 4907	no	yes	P4	amy	fact(relation)			multihop-character
08x03 4907	no	no	P5	howard	inside_scene(mention)			no
08x04 4909	no	yes	P0	amy	fact(relation)			multihop-character
08x04 4909	no	no	P1	howard	inside_scene(mention)			no
08x04 4909	no	no	P2	raj	fact(relation)			no
08x04 4909	no	yes	P3	sheldon	personality			no
08x04 4909	no	yes	P4	leonard	inside_scene(mention)	inside_scene(exclusive)	inside_scene(background)	multihop-textual
08x04 4909	no	yes	P5	penny	inside_scene(mention)	personality	inside_scene(mention)	
08x04 4910	no	yes	P0	penny	fact(attribute)			no
08x04 4910	no	yes	P1	amy	inside_scene(exclusive)			no
08x04 4911	no	yes	P0	sheldon	personality	inside_scene(background)		multihop-textual
